Controller Name, DX200,,,,,,
Robot Name, DX200-R01,,,,,,
Model Traced, DX200-R01_tcp,,,,,,
Trace Model, DX200-R01-trace1_01,,,,,,
Reference Frame, world,,,,,,
,,,,,,,
Time[s],X[mm],Y[mm],Z[mm],Rx[deg],Ry[deg],Rz[deg],V[mm/s]
0.488,695.565,-299.159,910.921,-178.18,-27.568,-34.409,191.737
0.492,695.509,-299.922,910.854,-177.905,-27.953,-34.937,191.956
0.496,695.46,-300.667,910.781,-177.62,-28.337,-35.471,187.613
0.5,695.434,-301.406,910.706,-177.327,-28.718,-36.006,185.731
0.504,695.422,-302.134,910.624,-177.027,-29.096,-36.543,183.221
0.508,695.42,-302.842,910.518,-176.716,-29.468,-37.085,178.998
0.512,695.449,-303.554,910.436,-176.4,-29.84,-37.626,179.249
0.516,695.486,-304.248,910.324,-176.074,-30.208,-38.173,176.152
0.52,695.533,-304.936,910.217,-175.741,-30.572,-38.721,174.414
0.524,695.603,-305.611,910.093,-175.399,-30.932,-39.273,172.423
0.528,695.692,-306.277,909.983,-175.05,-31.289,-39.826,170.2
0.532,695.796,-306.932,909.849,-174.691,-31.642,-40.385,169.28
0.536,695.91,-307.581,909.72,-174.326,-31.991,-40.944,167.855
0.54,696.051,-308.218,909.586,-173.951,-32.336,-41.509,166.5
0.544,696.204,-308.852,909.452,-173.57,-32.677,-42.073,166.436
0.548,696.38,-309.474,909.302,-173.18,-33.014,-42.642,165.777
0.552,696.562,-310.076,909.156,-172.779,-33.346,-43.217,161.373
0.556,696.773,-310.679,908.998,-172.373,-33.674,-43.792,164.504
0.56,696.996,-311.272,908.845,-171.957,-33.998,-44.37,163.123
0.564,697.235,-311.857,908.679,-171.536,-34.317,-44.951,163.26
0.568,697.498,-312.429,908.516,-171.103,-34.632,-45.538,162.58
0.572,697.767,-312.989,908.346,-170.663,-34.94,-46.127,161.061
0.576,698.061,-313.543,908.167,-170.215,-35.244,-46.72,163.011
0.58,698.373,-314.095,908.01,-169.761,-35.544,-47.313,163.442
0.584,698.706,-314.636,907.83,-169.298,-35.839,-47.91,164.896
0.588,699.042,-315.162,907.65,-168.826,-36.128,-48.513,162.44
0.592,699.414,-315.679,907.47,-168.345,-36.411,-49.118,165.468
0.596,699.789,-316.192,907.29,-167.859,-36.689,-49.725,165.048
0.6,700.192,-316.697,907.101,-167.365,-36.962,-50.335,168.306
0.604,700.605,-317.189,906.915,-166.861,-37.23,-50.95,167.104
0.608,701.041,-317.676,906.733,-166.352,-37.491,-51.567,169.811
0.612,701.493,-318.148,906.543,-165.833,-37.746,-52.187,170.14
0.616,701.96,-318.618,906.348,-165.309,-37.995,-52.808,172.677
0.62,702.451,-319.08,906.173,-164.776,-38.24,-53.433,174.048
0.624,702.95,-319.528,905.973,-164.237,-38.477,-54.063,175.047
0.628,703.475,-319.976,905.79,-163.691,-38.709,-54.691,178.446
0.632,704.014,-320.401,905.594,-163.136,-38.933,-55.326,178.417
0.636,704.57,-320.827,905.408,-162.575,-39.152,-55.962,181.405
0.64,705.146,-321.241,905.209,-162.007,-39.364,-56.601,184.104
